Interval_Sample_Size,Percent of adults aged 18 years and older who have an overweight classification,Percent of adults aged 18 years and older who have obesity,Percent of adults who engage in no leisure-time physical activity,Percent of adults who report consuming fruit less than one time daily,Percent of adults who report consuming vegetables less than one time daily
"(0, 125]",34.81818181818182,32.29090909090909,25.925,40.98181818181818,19.9
"(125, 250]",31.41666666666666,24.241666666666664,20.827272727272728,41.53333333333334,21.8625
"(250, 375]",32.268750000000004,35.28125,29.11428571428571,44.089999999999996,27.536363636363635
"(375, 500]",31.153846153846153,39.72307692307691,29.86153846153847,43.98571428571428,23.36875
"(500, 625]",31.058823529411764,35.07058823529412,31.28666666666667,43.515,26.830000000000002
"(625, 750]",35.300000000000004,33.285714285714285,26.083333333333332,40.32857142857142,18.560000000000002
"(750, 875]",34.800000000000004,37.785714285714285,16.06,41.224999999999994,25.15
"(875, 1000]",36.3,31.216666666666665,28.72,39.628571428571426,20.066666666666666
"(1000, 1125]",35.550000000000004,34.35,18.799999999999997,38.737500000000004,24.683333333333334
"(1125, 1250]",34.18,35.6,23.5375,44.160000000000004,19.55
"(1250, 1375]",35.18333333333333,33.58333333333333,24.099999999999998,41.599999999999994,22.049999999999997
"(1375, 1500]",38.800000000000004,32.4,22.025,42.699999999999996,20.209090909090907
"(1500, 1625]",35.03846153846153,33.63846153846154,19.26,39.32727272727273,18.400000000000002
"(1625, 1750]",37.35,31.374999999999996,23.849999999999998,42.63333333333333,24.599999999999998
"(1750, 1875]",35.6,33.766666666666666,25.96666666666667,40.1,22.35
"(1875, 2000]",36.73333333333334,32.300000000000004,24.833333333333332,38.24999999999999,22.159999999999997
"(2000, 2125]",36.03333333333333,32.63333333333333,24.549999999999997,0.0,0.0
"(2125, 2250]",0.0,0.0,21.76666666666667,0.0,18.1
"(2250, 2375]",35.0,27.8,25.2,41.9,18.160000000000004
"(2375, 2500]",31.400000000000002,33.13333333333333,0.0,39.04,18.4
"(2500, 2625]",37.75,28.15,17.3,44.8,19.4
"(2625, 2750]",33.45,35.45,22.3,46.4,0.0
"(2750, 2875]",35.2,19.6,22.225,39.53333333333333,14.733333333333334
"(2875, 3000]",32.36666666666667,30.599999999999998,40.0,0.0,19.3
"(3000, 3125]",0.0,0.0,22.299999999999997,38.53333333333333,21.75
"(3125, 3250]",39.95,30.05,0.0,0.0,23.9
"(3250, 3375]",0.0,0.0,22.0,38.5,17.666666666666668
"(3375, 3500]",34.724999999999994,27.025,20.35,40.6,16.1
"(3500, 3625]",39.0,30.75,0.0,33.53333333333334,17.85
"(3625, 3750]",38.5,28.3,0.0,40.8,0.0
"(3750, 3875]",34.9,31.55,18.2,37.3,15.3
"(3875, 4000]",35.7,22.0,21.966666666666665,35.8,0.0
"(4000, 4125]",0.0,0.0,12.0,0.0,20.6
"(4125, 4250]",31.9,39.9,21.5,45.9,0.0
"(4250, 4375]",29.9,25.8,22.5,0.0,20.0
"(4375, 4500]",0.0,0.0,0.0,38.95,16.65
"(4500, 4625]",36.8,20.5,31.5,40.849999999999994,22.0
"(4625, 4750]",0.0,0.0,13.3,41.3,18.7
"(4750, 4875]",36.55,34.900000000000006,0.0,42.4,0.0
"(4875, 5000]",36.0,28.05,0.0,0.0,17.6
"(5000, 5125]",34.1,33.5,15.266666666666666,36.75,0.0
"(5125, 5250]",35.6,28.8,0.0,0.0,0.0
"(5250, 5375]",0.0,0.0,22.450000000000003,0.0,0.0
"(5375, 5500]",0.0,0.0,20.3,0.0,0.0
"(5500, 5625]",0.0,0.0,25.9,0.0,0.0
"(5625, 5750]",0.0,0.0,0.0,0.0,0.0
"(5750, 5875]",0.0,0.0,0.0,0.0,0.0
"(5875, 6000]",0.0,0.0,18.4,0.0,22.5
"(6000, 6125]",0.0,0.0,0.0,36.2,0.0
"(6125, 6250]",36.4,27.6,0.0,0.0,0.0
"(6250, 6375]",0.0,0.0,0.0,0.0,15.2
"(6375, 6500]",0.0,0.0,0.0,0.0,17.9
"(6500, 6625]",0.0,0.0,0.0,39.8,0.0
"(6625, 6750]",35.4,25.95,20.1,0.0,20.5
"(6750, 6875]",0.0,0.0,0.0,0.0,0.0
"(6875, 7000]",0.0,0.0,0.0,36.0,0.0
"(7000, 7125]",35.3,30.4,0.0,0.0,0.0
"(7125, 7250]",0.0,0.0,19.7,0.0,0.0
"(7250, 7375]",0.0,0.0,13.4,0.0,0.0
"(7375, 7500]",0.0,0.0,0.0,0.0,0.0
"(7500, 7625]",0.0,0.0,0.0,0.0,0.0
"(7625, 7750]",0.0,0.0,0.0,0.0,0.0
"(7750, 7875]",0.0,0.0,0.0,0.0,0.0
"(7875, 8000]",0.0,0.0,0.0,0.0,0.0
"(8000, 8125]",0.0,0.0,0.0,0.0,0.0
"(8125, 8250]",0.0,0.0,0.0,0.0,0.0
"(8250, 8375]",0.0,0.0,22.9,0.0,0.0
"(8375, 8500]",0.0,0.0,0.0,0.0,0.0
"(8500, 8625]",0.0,0.0,0.0,0.0,0.0
"(8625, 8750]",0.0,0.0,0.0,0.0,0.0
"(8750, 8875]",0.0,0.0,0.0,0.0,0.0
"(8875, 9000]",0.0,0.0,0.0,0.0,18.8
"(9000, 9125]",0.0,0.0,0.0,0.0,0.0
"(9125, 9250]",0.0,0.0,0.0,38.3,0.0
"(9250, 9375]",35.5,25.1,0.0,0.0,21.7
"(9375, 9500]",0.0,0.0,0.0,0.0,0.0
"(9500, 9625]",0.0,0.0,0.0,41.6,0.0
"(9625, 9750]",36.6,31.3,0.0,0.0,0.0
"(9750, 9875]",0.0,0.0,0.0,0.0,0.0
"(9875, 10000]",0.0,0.0,0.0,0.0,0.0
"(10000, 10125]",0.0,0.0,0.0,0.0,0.0
"(10125, 10250]",0.0,0.0,0.0,0.0,0.0
"(10250, 10375]",0.0,0.0,0.0,0.0,0.0
"(10375, 10500]",0.0,0.0,16.7,0.0,0.0
"(10500, 10625]",0.0,0.0,0.0,0.0,0.0
"(10625, 10750]",0.0,0.0,22.7,0.0,0.0
