Interval_Sample_Size,Percent of adults aged 18 years and older who have an overweight classification,Percent of adults aged 18 years and older who have obesity,Percent of adults who engage in no leisure-time physical activity,Percent of adults who report consuming fruit less than one time daily,Percent of adults who report consuming vegetables less than one time daily
"(0, 50]",0.0,0.0,0.0,0.0,0.0
"(50, 100]",37.9,33.028571428571425,24.733333333333334,39.728571428571435,18.979999999999997
"(100, 150]",32.06666666666667,27.899999999999995,23.633333333333336,40.63333333333333,20.46
"(150, 200]",28.75,26.0,19.32,43.150000000000006,19.9125
"(200, 250]",32.45,22.875,22.775,42.1,26.183333333333334
"(250, 300]",30.9125,35.78750000000001,27.850000000000005,43.63333333333333,28.316666666666663
"(300, 350]",34.78000000000001,37.38,23.399999999999995,44.68333333333334,28.950000000000003
"(350, 400]",31.799999999999997,34.15,37.36,44.800000000000004,21.166666666666664
"(400, 450]",30.474999999999998,38.4625,38.45,42.557142857142864,25.82857142857143
"(450, 500]",32.275,40.85,23.17142857142857,45.08,20.971428571428568
"(500, 550]",30.3,39.980000000000004,32.050000000000004,43.275,28.7
"(550, 600]",31.375,33.025,31.057142857142853,44.52222222222222,24.4125
"(600, 650]",36.2,29.65,28.2625,41.1,23.599999999999998
"(650, 700]",27.9,44.1,22.799999999999997,42.0,19.7
"(700, 750]",36.7,32.4,32.199999999999996,38.73333333333333,17.2
"(750, 800]",34.6,37.8,14.7,41.5,27.68
"(800, 850]",34.95,37.775,0.0,42.224999999999994,21.45
"(850, 900]",39.05,31.650000000000002,30.3,38.27499999999999,22.675
"(900, 950]",33.4,36.3,29.96666666666667,41.75,21.5
"(950, 1000]",35.43333333333333,29.233333333333334,26.366666666666664,38.599999999999994,17.700000000000003
"(1000, 1050]",36.7,34.4,18.95,35.82000000000001,24.16
"(1050, 1100]",35.32,34.339999999999996,18.65,40.75,27.3
"(1100, 1150]",35.0,34.5,17.666666666666668,44.2,21.200000000000003
"(1150, 1200]",33.5,36.43333333333334,28.65,46.46666666666667,0.0
"(1200, 1250]",35.4,34.2,26.0,42.3,18.725
"(1250, 1300]",36.63333333333333,36.13333333333333,24.099999999999998,41.23333333333333,0.0
"(1300, 1350]",34.099999999999994,35.0,0.0,0.0,18.9
"(1350, 1400]",33.0,23.1,16.700000000000003,42.7,21.1
"(1400, 1450]",38.800000000000004,32.4,26.3,43.925,20.333333333333332
"(1450, 1500]",0.0,0.0,28.4,40.25,20.42
"(1500, 1550]",35.5,34.3,15.8,39.550000000000004,17.2
"(1550, 1600]",34.466666666666676,34.416666666666664,20.65,39.06666666666667,17.875
"(1600, 1650]",36.86666666666667,30.066666666666663,21.4,39.73333333333333,24.73333333333333
