Interval_Sample_Size,Percent of adults aged 18 years and older who have an overweight classification,Percent of adults aged 18 years and older who have obesity,Percent of adults who engage in no leisure-time physical activity,Percent of adults who report consuming fruit less than one time daily,Percent of adults who report consuming vegetables less than one time daily
"(1650, 1700]",36.666666666666664,31.53333333333333,19.8,42.4,21.1
"(1700, 1750]",0.0,0.0,25.975,44.4,24.8
"(1750, 1800]",36.3,38.0,25.900000000000002,0.0,21.7
"(1800, 1850]",35.25,31.65,27.720000000000006,40.1,23.0
"(1850, 1900]",0.0,0.0,17.4,46.4,17.7
"(1900, 1950]",39.6,35.7,24.45,40.9,23.275
"(1950, 2000]",35.3,30.6,25.6,35.55,0.0
"(2000, 2050]",38.2,26.6,25.7,0.0,0.0
"(2050, 2100]",34.95,35.650000000000006,23.4,0.0,0.0
"(2100, 2150]",0.0,0.0,0.0,0.0,0.0
"(2150, 2200]",0.0,0.0,10.8,0.0,0.0
"(2200, 2250]",0.0,0.0,27.25,0.0,18.1
"(2250, 2300]",0.0,0.0,22.9,41.9,0.0
"(2300, 2350]",35.0,27.8,29.8,0.0,18.3
"(2350, 2400]",29.6,34.9,0.0,40.4,18.125
"(2400, 2450]",36.9,22.9,0.0,33.7,0.0
"(2450, 2500]",27.7,41.6,0.0,43.7,18.4
"(2500, 2550]",0.0,0.0,0.0,44.8,0.0
"(2550, 2600]",37.75,28.15,17.3,0.0,19.4
"(2600, 2650]",38.0,32.3,0.0,0.0,0.0
"(2650, 2700]",0.0,0.0,22.3,46.4,0.0
"(2700, 2750]",28.9,38.6,0.0,0.0,0.0
"(2750, 2800]",0.0,0.0,22.5,0.0,12.3
"(2800, 2850]",0.0,0.0,21.4,34.5,15.95
"(2850, 2900]",34.25,28.2,40.0,49.6,0.0
"(2900, 2950]",34.5,26.3,0.0,0.0,0.0
"(2950, 3000]",29.3,28.7,0.0,0.0,19.3
"(3000, 3050]",0.0,0.0,0.0,33.5,21.75
"(3050, 3100]",0.0,0.0,18.766666666666666,39.1,0.0
"(3100, 3150]",0.0,0.0,32.9,43.0,0.0
"(3150, 3200]",39.95,30.05,0.0,0.0,23.9
"(3200, 3250]",0.0,0.0,0.0,0.0,0.0
"(3250, 3300]",0.0,0.0,0.0,38.5,0.0
"(3300, 3350]",0.0,0.0,22.0,0.0,19.6
"(3350, 3400]",37.8,27.4,18.1,41.0,16.7
"(3400, 3450]",36.4,26.5,22.6,0.0,12.3
"(3450, 3500]",32.35,27.1,0.0,40.2,19.9
"(3500, 3550]",0.0,0.0,0.0,32.900000000000006,18.2
"(3550, 3600]",39.0,30.75,0.0,34.8,17.5
"(3600, 3650]",38.5,28.3,0.0,47.8,0.0
"(3650, 3700]",0.0,0.0,0.0,33.8,0.0
"(3700, 3750]",0.0,0.0,0.0,0.0,0.0
"(3750, 3800]",0.0,0.0,0.0,0.0,15.3
"(3800, 3850]",33.0,37.6,18.2,0.0,15.3
"(3850, 3900]",36.8,25.5,0.0,37.3,0.0
"(3900, 3950]",0.0,0.0,0.0,35.8,0.0
"(3950, 4000]",35.7,22.0,21.966666666666665,0.0,0.0
"(4000, 4050]",0.0,0.0,0.0,0.0,0.0
"(4050, 4100]",0.0,0.0,12.0,0.0,0.0
"(4100, 4150]",0.0,0.0,0.0,0.0,20.6
"(4150, 4200]",0.0,0.0,0.0,45.9,0.0
"(4200, 4250]",31.9,39.9,21.5,0.0,0.0
"(4250, 4300]",0.0,0.0,0.0,0.0,0.0
"(4300, 4350]",29.9,25.8,22.5,0.0,0.0
"(4350, 4400]",0.0,0.0,0.0,0.0,18.325000000000003
"(4400, 4450]",0.0,0.0,0.0,0.0,0.0
"(4450, 4500]",0.0,0.0,0.0,38.95,0.0
"(4500, 4550]",0.0,0.0,0.0,35.3,22.0
"(4550, 4600]",36.8,20.5,31.5,46.4,0.0
"(4600, 4650]",0.0,0.0,0.0,41.3,0.0
"(4650, 4700]",0.0,0.0,0.0,0.0,18.7
"(4700, 4750]",0.0,0.0,13.3,0.0,0.0
"(4750, 4800]",36.55,34.900000000000006,0.0,0.0,0.0
"(4800, 4850]",0.0,0.0,0.0,42.4,0.0
"(4850, 4900]",0.0,0.0,0.0,0.0,0.0
"(4900, 4950]",31.4,31.6,0.0,0.0,16.2
"(4950, 5000]",40.6,24.5,0.0,0.0,19.0
"(5000, 5050]",34.1,33.5,13.399999999999999,0.0,0.0
"(5050, 5100]",0.0,0.0,0.0,37.8,0.0
"(5100, 5150]",0.0,0.0,19.0,35.7,0.0
"(5150, 5200]",35.6,28.8,0.0,0.0,0.0
"(5200, 5250]",0.0,0.0,0.0,0.0,0.0
"(5250, 5300]",0.0,0.0,0.0,0.0,0.0
"(5300, 5350]",0.0,0.0,14.3,0.0,0.0
"(5350, 5400]",0.0,0.0,30.6,0.0,0.0
"(5400, 5450]",0.0,0.0,0.0,0.0,0.0
"(5450, 5500]",0.0,0.0,20.3,0.0,0.0
"(5500, 5550]",0.0,0.0,0.0,0.0,0.0
"(5550, 5600]",0.0,0.0,0.0,0.0,0.0
"(5600, 5650]",0.0,0.0,25.9,0.0,0.0
"(5650, 5700]",0.0,0.0,0.0,0.0,0.0
"(5700, 5750]",0.0,0.0,0.0,0.0,0.0
"(5750, 5800]",0.0,0.0,0.0,0.0,0.0
"(5800, 5850]",0.0,0.0,0.0,0.0,0.0
"(5850, 5900]",0.0,0.0,0.0,0.0,0.0
"(5900, 5950]",0.0,0.0,18.4,0.0,0.0
"(5950, 6000]",0.0,0.0,0.0,0.0,22.5
"(6000, 6050]",0.0,0.0,0.0,0.0,0.0
"(6050, 6100]",0.0,0.0,0.0,36.2,0.0
"(6100, 6150]",36.4,27.6,0.0,0.0,0.0
"(6150, 6200]",0.0,0.0,0.0,0.0,0.0
"(6200, 6250]",0.0,0.0,0.0,0.0,0.0
"(6250, 6300]",0.0,0.0,0.0,0.0,0.0
"(6300, 6350]",0.0,0.0,0.0,0.0,0.0
"(6350, 6400]",0.0,0.0,0.0,0.0,15.2
"(6400, 6450]",0.0,0.0,0.0,0.0,17.9
"(6450, 6500]",0.0,0.0,0.0,0.0,0.0
"(6500, 6550]",0.0,0.0,0.0,38.2,0.0
"(6550, 6600]",0.0,0.0,0.0,41.4,0.0
"(6600, 6650]",0.0,0.0,0.0,0.0,0.0
"(6650, 6700]",35.4,25.95,0.0,0.0,0.0
"(6700, 6750]",0.0,0.0,20.1,0.0,20.5
"(6750, 6800]",0.0,0.0,0.0,0.0,0.0
"(6800, 6850]",0.0,0.0,0.0,0.0,0.0
"(6850, 6900]",0.0,0.0,0.0,0.0,0.0
"(6900, 6950]",0.0,0.0,0.0,0.0,0.0
"(6950, 7000]",0.0,0.0,0.0,36.0,0.0
"(7000, 7050]",0.0,0.0,0.0,0.0,0.0
"(7050, 7100]",35.3,30.4,0.0,0.0,0.0
"(7100, 7150]",0.0,0.0,0.0,0.0,0.0
"(7150, 7200]",0.0,0.0,0.0,0.0,0.0
"(7200, 7250]",0.0,0.0,19.7,0.0,0.0
"(7250, 7300]",0.0,0.0,0.0,0.0,0.0
"(7300, 7350]",0.0,0.0,13.4,0.0,0.0
"(7350, 7400]",0.0,0.0,0.0,0.0,0.0
"(7400, 7450]",0.0,0.0,0.0,0.0,0.0
"(7450, 7500]",0.0,0.0,0.0,0.0,0.0
"(7500, 7550]",0.0,0.0,0.0,0.0,0.0
"(7550, 7600]",0.0,0.0,0.0,0.0,0.0
"(7600, 7650]",0.0,0.0,0.0,0.0,0.0
"(7650, 7700]",0.0,0.0,0.0,0.0,0.0
"(7700, 7750]",0.0,0.0,0.0,0.0,0.0
"(7750, 7800]",0.0,0.0,0.0,0.0,0.0
"(7800, 7850]",0.0,0.0,0.0,0.0,0.0
"(7850, 7900]",0.0,0.0,0.0,0.0,0.0
"(7900, 7950]",0.0,0.0,0.0,0.0,0.0
"(7950, 8000]",0.0,0.0,0.0,0.0,0.0
"(8000, 8050]",0.0,0.0,0.0,0.0,0.0
"(8050, 8100]",0.0,0.0,0.0,0.0,0.0
"(8100, 8150]",0.0,0.0,0.0,0.0,0.0
"(8150, 8200]",0.0,0.0,0.0,0.0,0.0
"(8200, 8250]",0.0,0.0,0.0,0.0,0.0
"(8250, 8300]",0.0,0.0,0.0,0.0,0.0
"(8300, 8350]",0.0,0.0,22.9,0.0,0.0
"(8350, 8400]",0.0,0.0,0.0,0.0,0.0
"(8400, 8450]",0.0,0.0,0.0,0.0,0.0
"(8450, 8500]",0.0,0.0,0.0,0.0,0.0
"(8500, 8550]",0.0,0.0,0.0,0.0,0.0
"(8550, 8600]",0.0,0.0,0.0,0.0,0.0
"(8600, 8650]",0.0,0.0,0.0,0.0,0.0
"(8650, 8700]",0.0,0.0,0.0,0.0,0.0
"(8700, 8750]",0.0,0.0,0.0,0.0,0.0
"(8750, 8800]",0.0,0.0,0.0,0.0,0.0
"(8800, 8850]",0.0,0.0,0.0,0.0,0.0
"(8850, 8900]",0.0,0.0,0.0,0.0,0.0
"(8900, 8950]",0.0,0.0,0.0,0.0,18.8
"(8950, 9000]",0.0,0.0,0.0,0.0,0.0
"(9000, 9050]",0.0,0.0,0.0,0.0,0.0
"(9050, 9100]",0.0,0.0,0.0,0.0,0.0
"(9100, 9150]",0.0,0.0,0.0,38.3,0.0
"(9150, 9200]",0.0,0.0,0.0,0.0,0.0
"(9200, 9250]",0.0,0.0,0.0,0.0,0.0
"(9250, 9300]",0.0,0.0,0.0,0.0,0.0
"(9300, 9350]",35.5,25.1,0.0,0.0,21.7
"(9350, 9400]",0.0,0.0,0.0,0.0,0.0
"(9400, 9450]",0.0,0.0,0.0,0.0,0.0
"(9450, 9500]",0.0,0.0,0.0,0.0,0.0
"(9500, 9550]",0.0,0.0,0.0,41.6,0.0
"(9550, 9600]",0.0,0.0,0.0,0.0,0.0
"(9600, 9650]",0.0,0.0,0.0,0.0,0.0
"(9650, 9700]",36.6,31.3,0.0,0.0,0.0
"(9700, 9750]",0.0,0.0,0.0,0.0,0.0
"(9750, 9800]",0.0,0.0,0.0,0.0,0.0
"(9800, 9850]",0.0,0.0,0.0,0.0,0.0
"(9850, 9900]",0.0,0.0,0.0,0.0,0.0
"(9900, 9950]",0.0,0.0,0.0,0.0,0.0
"(9950, 10000]",0.0,0.0,0.0,0.0,0.0
"(10000, 10050]",0.0,0.0,0.0,0.0,0.0
"(10050, 10100]",0.0,0.0,0.0,0.0,0.0
"(10100, 10150]",0.0,0.0,0.0,0.0,0.0
"(10150, 10200]",0.0,0.0,0.0,0.0,0.0
"(10200, 10250]",0.0,0.0,0.0,0.0,0.0
"(10250, 10300]",0.0,0.0,0.0,0.0,0.0
"(10300, 10350]",0.0,0.0,0.0,0.0,0.0
"(10350, 10400]",0.0,0.0,0.0,0.0,0.0
"(10400, 10450]",0.0,0.0,0.0,0.0,0.0
"(10450, 10500]",0.0,0.0,16.7,0.0,0.0
"(10500, 10550]",0.0,0.0,0.0,0.0,0.0
"(10550, 10600]",0.0,0.0,0.0,0.0,0.0
"(10600, 10650]",0.0,0.0,22.7,0.0,0.0
